"age_calBP","past_temp","past_co2","modern_co2","present_t","recon_mi","corrected_mi","corrected_P_ann"
11594,14.64327,261,332.1725,14.64327,0.462316,0.602887913928415,570.416813951738
11888,15.016305,253.73,332.1725,15.016305,0.445394,0.605414853662014,624.34825531686
11954,13.61493,251.455,332.1725,13.61493,0.389403,0.5505437672231,535.096425521368
12022,14.482675,248.13,332.1725,14.482675,0.465376,0.638949980668952,658.011003544276
12091,14.12478,253.345,332.1725,14.12478,0.417931,0.575988621163787,568.52709666577
12234,12.575605,249.09,332.1725,12.575605,0.48076,0.646140019499062,599.76540145094
12382,12.30782,243.655,332.1725,12.30782,0.477946,0.656926409111632,629.317263350761
12537,12.47163,248.33,332.1725,12.47163,0.474711,0.64170346400385,625.491601115065
12698,12.908245,242.915,332.1725,12.908245,0.428726,0.610965619794494,577.472141530917
12871,13.24905,240.295,332.1725,13.24905,0.425493,0.616095147073068,597.31805351984
13043,13.682535,236.77,332.1725,13.682535,0.483385,0.686485509363618,655.460627669818
13218,12.610745,239.41,332.1725,12.610745,0.536082,0.728555266890834,682.463527424479
13397,13.91437,237.83,332.1725,13.91437,0.439547,0.639768085723311,630.627439607327
13578,14.72327,239.845,332.1725,14.72327,0.458435,0.656079488441985,637.566407498153
13762,13.627845,241.11,332.1725,13.627845,0.466207,0.656382939452923,654.863791967643
13947,15.31739,238.245,332.1725,15.31739,0.469603,0.674429381656444,686.082458836019
14133,13.802605,237.82,332.1725,13.802605,0.450253,0.650247761661215,681.559094890703
14327,14.841775,238.94,332.1725,14.841775,0.349928,0.549083778754373,578.148840235213
14512,13.35139,241.6,332.1725,13.35139,0.498382,0.686675708093215,694.618782797272
14695,14.525705,233.2,332.1725,14.525705,0.41814,0.634204212058983,671.251784842627
14877,13.996235,230.035,332.1725,13.996235,0.433336,0.657184106598071,686.943747439759
15056,15.177935,227.185,332.1725,15.177935,0.443005,0.681276718013824,738.647874642358
15144,13.24549,229.24,332.1725,13.24549,0.489104,0.713231879904437,746.482708614856
15231,13.647995,229.225,332.1725,13.647995,0.515634,0.741898588975974,781.042813390346
15317,12.46756,227.64,332.1725,12.46756,0.513872,0.740214694742939,779.671915448481
15402,13.45252,225.065,332.1725,13.45252,0.492902,0.731102795589599,788.797236756501
15486,14.472345,223.4,332.1725,14.472345,0.45935,0.707020155103258,785.10559432977
15576,16.186575,223.145,332.1725,16.186575,0.491031,0.748691170985937,885.077013333
15722,12.52446,223.51,332.1725,12.52446,0.429873,0.667955882425324,611.900934897813
15793,12.398135,223.61,332.1725,12.398135,0.430739,0.66798884181859,678.22875583271
15870,10.760215,222.935,332.1725,10.760215,0.45389,0.68706807102628,593.183350276336
15939,12.35073,223.77,332.1725,12.35073,0.365376,0.600787508233074,641.072841565614
16006,12.72497,223.4,332.1725,12.72497,0.375637,0.613970488903685,576.34806961702
16072,13.518925,224.36,332.1725,13.518925,0.36602,0.604556626544041,705.512066486189
16137,10.44588,223.635,332.1725,10.44588,0.441893,0.671515839241737,642.679255350498
16206,13.415415,227.32,332.1725,13.415415,0.342865,0.571217923191399,556.930186299942
16269,11.89375,216.39,332.1725,11.89375,0.422392,0.680756232691565,531.367378923865
16330,10.199119,213.515,332.1725,10.199119,0.474221,0.735713091585072,667.90854335181
16391,11.01799,210.36,332.1725,11.01799,0.442874,0.718104418922067,818.982204294018
16452,11.55062,217.19,332.1725,11.55062,0.395824,0.649522317928286,598.49737634824
16517,11.802705,208.3,332.1725,11.802705,0.278469,0.561285006245917,556.094809523542
16576,11.14875,208.555,332.1725,11.14875,0.448982,0.731261481533214,832.855526358167
16635,12.849935,210.805,332.1725,12.849935,0.3754,0.656635497571971,570.867077252461
16694,13.0127,211.7,332.1725,13.0127,0.341791,0.619997519687197,724.148236325025
16753,12.077215,207.89,332.1725,12.077215,0.363719,0.651170420862544,641.875121950147
16818,14.158905,205.36,332.1725,14.158905,0.373298,0.68178400745669,788.261962427585
16876,10.7909,204.06,332.1725,10.7909,0.451034,0.74771825510797,706.68305605715
16935,12.04843,203.625,332.1725,12.04843,0.390956,0.694454993878544,844.566522088081
16994,10.837725,203.625,332.1725,10.837725,0.480079,0.779226299725047,831.500534192592
17053,10.03181,203.21,332.1725,10.03181,0.465448,0.761792746627915,746.540459356672
17118,9.8958485,200.365,332.1725,9.8958485,0.461283,0.767309096493361,756.553398542372
17177,10.426055,198.46,332.1725,10.426055,0.477632,0.793938412792817,886.771121819125
17236,12.864705,198.29,332.1725,12.864705,0.380516,0.709008166265871,623.32333426432
17295,11.274705,195.265,332.1725,11.274705,0.446154,0.778883017322784,855.815683638407
17354,12.146745,190.5,332.1725,12.146745,0.404584,0.761179378885799,815.468703617199
17419,11.463015,191.325,332.1725,11.463015,0.396909,0.745545705144724,679.496248896557
17478,10.420725,192.24,332.1725,10.420725,0.424005,0.763409129070299,685.220031658392
17537,12.035565,192.495,332.1725,12.035565,0.385468,0.732509434915675,861.609025466463
17596,11.631775,196.375,332.1725,11.631775,0.438248,0.768435332690129,827.790548109009
17655,11.98309,193.795,332.1725,11.98309,0.352284,0.692821816015635,682.959030855599
17720,11.907815,189.965,332.1725,11.907815,0.419211,0.77692022714584,712.555409694068
17779,10.72256,189.475,332.1725,10.72256,0.441874,0.7948536983297,710.287369317638
17838,11.74325,190.365,332.1725,11.74325,0.407721,0.762391296254023,675.432304118976
17898,12.40418,190.99,332.1725,12.40418,0.365678,0.720847917807521,820.343531313117
17957,11.455935,188.6,332.1725,11.455935,0.376603,0.736096544300729,652.048123280515
18023,12.78399,187.79,332.1725,12.78399,0.349292,0.720347392213554,715.958802579006
18084,13.026125,188.615,332.1725,13.026125,0.392178,0.762462226972998,668.315606455867
18145,12.796495,186.945,332.1725,12.796495,0.328991,0.703296477515669,670.612605176496
18207,12.38054,187.265,332.1725,12.38054,0.382299,0.753790458500107,683.37208849424
18269,10.78697,188.775,332.1725,10.78697,0.431274,0.787300186720015,646.466638894529
